,name,location,open_times,amenities,phone,website,rating,url
0,The Burgundy By Chef Stone,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=990 Nal Boulevard Behind Fraser Suite, Central Area, Abuja 900103 Nigeria@9.055409,7.475511",5.05 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d24116811-Reviews-The_Burgundy_By_Chef_Stone-Abuja_Federal_Capital_Territory.html
1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d20028898-Reviews-Last_Gate_Restaurant_and_Bush_Bar-Abuja_Federal_Capital_Territory.html
2,LiquidHub Abuja,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Plot 989 Olusegun Obasanjo Way Cbd Along Nnpc Gas Station Close To Fraiser Suite Near Eterna Filling Station, Abuja Nigeria@9.054732,7.473926",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d24169929-Reviews-LiquidHub_Abuja-Abuja_Federal_Capital_Territory.html
3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d8522965-Reviews-Boat_House-Abuja_Federal_Capital_Territory.html
4,High Street Cafe Abuja,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=After Paygreens, Adetokunbo Ademola Crescent, Wuse, Abuja 900288 Nigeria@9.070888,7.482254",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23735161-Reviews-High_Street_Cafe_Abuja-Abuja_Federal_Capital_Territory.html
5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d28150089-Reviews-Papillon_Restaurant_Abuja-Abuja_Federal_Capital_Territory.html
6,The Ivy League,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=69 Adetokunbo Ademola Crescent, Abuja 900288 Nigeria@9.070366,7.482558",5.05 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d23721183-Reviews-The_Ivy_League-Abuja_Federal_Capital_Territory.html
7,Hugoz Shawarma Spot,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=House 8, Zone D, Apo Resettlement Opposite Awesome Plaza, In Front Of Bamak Pharmacy, Abuja 900104 Nigeria@9.076013,7.398473",5.05 of 5 bubbles(3 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23431948-Reviews-Hugoz_Shawarma_Spot-Abuja_Federal_Capital_Territory.html
8,Gigantiz,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=48 Adetokunbo Ademola Cr., Abuja 900288 Nigeria@9.071825,7.483992",1.01 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d20120077-Reviews-Gigantiz-Abuja_Federal_Capital_Territory.html
9,Speakeasy,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=10 Kolda Link St Wuse, Abuja 900001 Nigeria@9.069245,7.488664",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d20834722-Reviews-Speakeasy-Abuja_Federal_Capital_Territory.html
10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d12140154-Reviews-Beer_Barn-Abuja_Federal_Capital_Territory.html
11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d14139876-Reviews-The_Jerk_Shack-Abuja_Federal_Capital_Territory.html
12,Nile Bakery,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Barla St Plot 681, Cadastral Zone C-OO, Research & Institution Area, Nile University of Nigeria, Abuja 900108 Nigeria@9.01387,7.396472",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23140466-Reviews-Nile_Bakery-Abuja_Federal_Capital_Territory.html
13,Cold Stone,Abuja Photos,N/A,N/A,N/A,"https://maps.apple.com/maps?saddr=&daddr=1st Avenue Gwarimpa, Abuja Nigeria@8.804441,7.198126",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23159698-Reviews-Cold_Stone-Abuja_Federal_Capital_Territory.html
14,Chez Victor,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=Maitama Ave., Abuja 900221 Nigeria@9.10231,7.48667",4.24.2 of 5 bubbles(46 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d6033867-Reviews-Chez_Victor-Abuja_Federal_Capital_Territory.html
15,Downtown Take Away,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=38 Gana Street, Abuja 900271 Nigeria@9.08121,7.50041",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d14153074-Reviews-Downtown_Take_Away-Abuja_Federal_Capital_Territory.html
16,New Yorker Restaurant,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Plot 2787 Shehu Shagari Way, Opposite Imani Estate, Maitama Abuja., Abuja 900271 Nigeria@9.084953,7.489542",4.24.2 of 5 bubbles(6 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d17621770-Reviews-New_Yorker_Restaurant-Abuja_Federal_Capital_Territory.html
